paper_id,class_label,degree_full_graph,degree_subset_if_available,selection_rank_within_class
14062,Genetic_Algorithms,11,1,17
84021,Genetic_Algorithms,11,3,18
103515,Genetic_Algorithms,11,3,19
503883,Genetic_Algorithms,11,2,20
45605,Genetic_Algorithms,11,2,21
8875,Genetic_Algorithms,10,4,22
575077,Genetic_Algorithms,10,4,23
33907,Genetic_Algorithms,9,2,24
56119,Genetic_Algorithms,9,5,25
578646,Genetic_Algorithms,9,2,26
579008,Genetic_Algorithms,8,3,27
127033,Genetic_Algorithms,8,4,28
141342,Genetic_Algorithms,8,2,29
56112,Genetic_Algorithms,8,4,30
87417,Genetic_Algorithms,8,0,31
5966,Genetic_Algorithms,8,1,32
56709,Genetic_Algorithms,8,3,33
54132,Genetic_Algorithms,8,1,34
8865,Genetic_Algorithms,8,3,35
66556,Genetic_Algorithms,8,4,36
33895,Genetic_Algorithms,7,0,37
195792,Genetic_Algorithms,7,0,38
198653,Genetic_Algorithms,7,3,39
20193,Case_Based,23,4,0
10796,Case_Based,17,4,1
1481,Case_Based,16,0,2
6334,Case_Based,16,4,3
1956,Case_Based,12,3,4
10183,Case_Based,11,2,5
10798,Case_Based,11,4,6
1959,Case_Based,10,2,7
112378,Case_Based,10,4,8
5064,Case_Based,9,2,9
6767,Case_Based,9,3,10
3085,Case_Based,9,3,11
22386,Case_Based,8,0,12
3828,Case_Based,8,2,13
15889,Case_Based,8,1,14
27631,Case_Based,8,4,15
936,Case_Based,8,2,16
10435,Case_Based,8,3,17
56167,Case_Based,8,2,18
73327,Case_Based,8,2,19
3097,Case_Based,8,3,20
3112,Case_Based,8,2,21
64271,Case_Based,7,1,22
145215,Case_Based,7,2,23
91853,Case_Based,7,1,24
28447,Case_Based,7,1,25
36620,Case_Based,7,4,26
3101,Case_Based,7,3,27
5069,Case_Based,7,2,28
39131,Case_Based,7,5,29
17798,Case_Based,7,4,30
5062,Case_Based,7,4,31
3222,Case_Based,6,0,32
9708,Case_Based,6,2,33
75121,Case_Based,6,3,34
1949,Case_Based,6,3,35
37483,Case_Based,6,2,36
110163,Case_Based,6,2,37
39130,Case_Based,6,3,38
14531,Case_Based,6,3,39
