d,k_true,n,trial,data_seed,family,rmse_Z,rmse_X,Q_final,Q_delta,w0_est,w_est,nan_count
10,3,150,3,5039,poisson,0.18320413307389324,0.29313127556604734,-1307.885463233226,2.195707740147327,0.019347806543900073,0.499309093925208,0
10,3,150,4,5052,bernoulli,0.24303327111958595,0.31690394939939925,-7107.678263618841,3.15385639806118,0.6657118120895875,0.7661649123273129,0
10,3,150,4,5052,poisson,0.17768067846175273,0.31268778248438456,-1872.92937066292,4.107054909551152,0.013725887924383177,0.49223318826115325,0
15,3,150,0,5500,bernoulli,0.20383204062165908,0.30606190573235265,-7220.225365006799,5.357844742749876,0.6555461312006393,0.7555695702531707,0
15,3,150,0,5500,poisson,0.15605993240958344,0.30587451320767,-3554.406202148029,6.062975102820928,0.013646345419782586,0.4941087496620185,0
15,3,150,1,5513,bernoulli,0.18919637362389105,0.30307333607290965,-7233.24372701658,1.1815455096530059,0.6400370378456948,0.7623688656369703,0
15,3,150,1,5513,poisson,0.15579996484449987,0.29970788948789856,-2485.485138428114,1.9915394311474302,0.0031311677146775695,0.4973411934063295,0
15,3,150,2,5526,bernoulli,0.20764041175868664,0.30383490941815905,-7274.197859946829,4.622163650677976,0.6354060291286343,0.7415485103758206,0
15,3,150,2,5526,poisson,0.1499539524854189,0.30627027335167534,-1750.3327549102498,4.7169943318963306,-0.002402158172813104,0.5023239912641205,0
15,3,150,3,5539,bernoulli,0.2264198849864134,0.3129559266833809,-7325.1355615542825,0.7201676027088979,0.6317276685378395,0.7083428973909175,0
15,3,150,3,5539,poisson,0.17117273555785736,0.31183635457315556,-4349.278211928565,2.753856071597511,0.017708717794589903,0.4957925148136616,0
15,3,150,4,5552,bernoulli,0.1917548583994432,0.3066457771009629,-7326.9976334681,3.0919227388048967,0.632250210665187,0.7324662849657937,0
15,3,150,4,5552,poisson,0.15162890758977868,0.3060336838083383,-118.57194757682944,3.3400476513480015,0.011062180294321065,0.4913363766865074,0
20,3,150,0,6000,bernoulli,0.17034897752260605,0.3056422780399842,-7338.1403218519845,2.8845580230408814,0.6512421920451531,0.7655427682888821,0
20,3,150,0,6000,poisson,0.13946985817757698,0.30514877850932265,-4587.823551684955,3.0144698352723935,0.005948641198658494,0.49873348036265813,0
20,3,150,1,6013,bernoulli,0.17849204026553622,0.3063446579144578,-7333.358936420356,4.443438430766037,0.6693513253570669,0.7622310243029591,0
20,3,150,1,6013,poisson,0.15156203611732222,0.3036271796024519,-3840.893012261554,3.45673128594035,0.010213945828826015,0.491497892964597,0
20,3,150,2,6026,bernoulli,0.18112204710074248,0.3115677254282032,-7458.554707178028,1.2073144693404174,0.6609245380556743,0.7607286666247887,0
20,3,150,2,6026,poisson,0.1458614252421662,0.31121827201708585,-3837.624827921895,4.701623104824648,0.012915216104313057,0.49584283712082144,0
20,3,150,3,6039,bernoulli,0.18410785369056215,0.32313729438027217,-7633.148136137546,4.6467282203784634,0.6204314913431344,0.7357387899380414,0
20,3,150,3,6039,poisson,0.14696930700133892,0.32103392746843484,-3575.9713906437223,3.940445481917777,-0.004096297210048495,0.49617047852097285,0
20,3,150,4,6052,bernoulli,0.16277712891910237,0.3019504617694028,-7321.256650477047,2.561813472999347,0.6482799632564612,0.8131255496663233,0
20,3,150,4,6052,poisson,0.13824462443781857,0.3011011687716832,-2301.989418874376,5.17411318504719,0.009328655746561183,0.49340136598893924,0
25,3,150,0,6500,bernoulli,0.15343876841065607,0.31167174714479484,-7667.340065177828,0.9955491078126215,0.6422123372201375,0.7629098981674137,0
25,3,150,0,6500,poisson,0.13072976198894398,0.30981745259707805,-3891.2687019138225,0.11340768474065044,0.00767285187764979,0.49827309707987993,0
25,3,150,1,6513,bernoulli,0.15451364053046937,0.31439622844303655,-7739.342274154857,2.9265466969791305,0.5830931837802822,0.7602854339558157,0
25,3,150,1,6513,poisson,0.13227193497904685,0.3131025760622462,-3879.2541911810854,2.1939453911145392,-0.022886745521938,0.5055636283080976,0
25,3,150,2,6526,bernoulli,0.16208412299791733,0.31270917356058514,-7746.868509755943,4.3570029606025855,0.6133046126685352,0.758122946620121,0
25,3,150,2,6526,poisson,0.14062230354496427,0.31065237947466273,-2023.1902724865074,4.29236206296514,-0.004658145054847607,0.4919436985863241,0
25,3,150,3,6539,bernoulli,0.16259251291719268,0.32112744646613123,-7710.165127563686,2.3955307557180276,0.6130008623177728,0.781839307185608,0
25,3,150,3,6539,poisson,0.13673490267816876,0.3187552682306573,-3346.1061642528593,2.992286428062016,-0.011890466821743335,0.5074708741263158,0
25,3,150,4,6552,bernoulli,0.15508809072825375,0.3092618021142885,-7666.587296413776,11.543611984525342,0.6261005586771271,0.7709606900986063,0
25,3,150,4,6552,poisson,0.13335830772675786,0.3081279585149582,-2483.200338338829,11.366844077361748,-0.0036861724841827934,0.4975037524116323,0
30,3,150,0,7000,bernoulli,0.1479154983488111,0.30610528252898506,-7772.303638456695,1.319369638788885,0.6732543241473137,0.7466710217329715,0
30,3,150,0,7000,poisson,0.12793744069467677,0.3055370011400582,-3029.4215814255076,2.6596006094005133,0.023792263128557707,0.4885638438707354,0
30,3,150,1,7013,bernoulli,0.14397451179584975,0.3109612908900407,-7659.9792504252955,2.619389216450145,0.6715907379214616,0.7928766945944478,0
30,3,150,1,7013,poisson,0.12460179787331503,0.31150867515456715,-5197.28858535231,1.195660430323187,0.00938339170289053,0.4967171531267575,0
30,3,150,2,7026,bernoulli,0.14838106375069676,0.31155442243040155,-7772.903693187409,2.140722634285339,0.6506866953824372,0.7729889079822113,0
30,3,150,2,7026,poisson,0.13010460997006967,0.30984566282034876,-4147.199270021652,2.0903224169405803,0.013826198217977002,0.4891580352803131,0
30,3,150,3,7039,bernoulli,0.1412560514254263,0.31867969997702345,-7938.851479809944,0.0912055806202261,0.6460803558414739,0.7417168193334914,0
30,3,150,3,7039,poisson,0.1253367890112447,0.3172269814978091,487.1841493001988,387.61408192734183,0.03702309535062774,0.4849792313094812,0
30,3,150,4,7052,bernoulli,0.14689779441349674,0.30895355042130873,-7722.768374518337,5.806413541994516,0.6819230410959478,0.7438598072180963,0
30,3,150,4,7052,poisson,0.12774510422639423,0.30826315211032357,-3067.8200622180875,4.463792644336991,0.03371865063807582,0.48723395825472854,0
