rank,movie_i,title_i,genres_i,movie_j,title_j,genres_j,observed_colike_count,predicted_colike_count,lift,like_count_i,like_count_j,genre_cosine,model_score,top_contributing_factor_1,top_contributing_factor_2,contribution_factor_1,contribution_factor_2
40,479,Vertigo (1958),Mystery|Thriller,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,69.0,61.00315670474166,3.58614417989418,162,112,0.4999999999999999,61.00315670474166,5,2,0.6321679650900253,0.484805192619612
41,134,Citizen Kane (1941),Drama,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,70.0,60.55273318296439,3.6381172839506175,162,112,0.0,60.55273318296439,5,2,0.6332521785355522,0.4677098286396132
42,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,479,Vertigo (1958),Mystery|Thriller,55.0,60.31450934861045,2.371513488797439,135,162,0.0,60.31450934861045,3,2,0.619004178751253,0.610720086135412
43,23,Taxi Driver (1976),Drama|Thriller,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,57.0,60.155039210210795,2.7270928462709283,146,135,0.408248290463863,60.155039210210795,2,3,0.6244210641892517,0.5113316766212013
44,479,Vertigo (1958),Mystery|Thriller,514,Annie Hall (1977),Comedy|Romance,64.0,60.13926246682531,2.9334111013901043,162,127,0.0,60.13926246682531,5,2,0.6630823603212418,0.5645991351222556
45,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,511,Lawrence of Arabia (1962),Adventure|War,58.0,59.646080519260046,3.367857142857143,112,145,0.0,59.646080519260046,5,3,0.6932814838665816,0.5926079495535255
46,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,65.0,59.44339087267478,3.5537453617810764,154,112,0.0,59.44339087267478,5,2,0.5791875059818953,0.5228006540964261
47,208,Young Frankenstein (1974),Comedy|Horror,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,61.0,59.2246136295853,3.021959548200683,141,135,0.408248290463863,59.2246136295853,3,2,0.8440935558763389,0.643353204955405
48,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,527,Gandhi (1982),Drama,63.0,59.03468862240553,2.6422789539227893,154,146,0.0,59.03468862240553,3,4,0.6360909517632898,0.4864744638545721
49,134,Citizen Kane (1941),Drama,514,Annie Hall (1977),Comedy|Romance,71.0,58.967279476153486,3.2542529406046468,162,127,0.0,58.967279476153486,5,2,0.6642195941740353,0.5446900502678764
50,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,480,North by Northwest (1959),Comedy|Thriller,50.0,58.096886669813934,2.2679172679172677,135,154,0.408248290463863,58.096886669813934,3,4,0.6482911621243225,0.48347120170071345
