k,trial,factor,side,rank,movie_id,title,genres,primary_genre,z_value,rating_count,like_count,avg_rating,high_rating_rate
8,2,1,high,1,260,Event Horizon (1997),Action|Mystery|Sci-Fi|Thriller,Action,1.8253342858722617,127,34,2.574803149606299,0.2677165354330709
8,2,1,high,2,327,Cop Land (1997),Crime|Drama|Mystery,Crime,1.395791089688791,175,83,3.3771428571428572,0.4742857142857143
8,2,1,high,3,270,Gattaca (1997),Drama|Sci-Fi|Thriller,Drama,0.9189090536741437,136,79,3.5955882352941178,0.5808823529411765
8,2,1,high,4,55,"Professional, The (1994)",Crime|Drama|Romance|Thriller,Crime,0.7725814706482755,149,97,3.704697986577181,0.6510067114093959
8,2,1,high,5,343,Alien: Resurrection (1997),Action|Horror|Sci-Fi,Action,0.7115834850645488,124,47,3.096774193548387,0.3790322580645161
8,2,1,high,6,184,Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi,Action,0.6870037151431129,116,62,3.4310344827586206,0.5344827586206896
8,2,1,high,7,324,Lost Highway (1997),Mystery,Mystery,0.5618072394724981,125,56,3.136,0.448
8,2,1,high,8,156,Reservoir Dogs (1992),Crime|Thriller,Crime,0.5290164407435688,148,111,3.9864864864864864,0.75
8,2,1,high,9,340,Boogie Nights (1997),Drama,Drama,0.511204203930592,189,114,3.5873015873015874,0.6031746031746031
8,2,1,high,10,358,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,Action,0.5070012454340629,143,32,2.6153846153846154,0.22377622377622378
8,2,1,low,1,393,Mrs. Doubtfire (1993),Comedy,Comedy,-1.6759616357286131,192,97,3.4114583333333335,0.5052083333333334
8,2,1,low,2,66,While You Were Sleeping (1995),Comedy|Romance,Comedy,-1.6567897815532158,162,85,3.549382716049383,0.5246913580246914
8,2,1,low,3,402,Ghost (1990),Comedy|Romance|Thriller,Comedy,-1.6478451050492415,170,86,3.4647058823529413,0.5058823529411764
8,2,1,low,4,692,"American President, The (1995)",Comedy|Drama|Romance,Comedy,-1.5906862284229333,164,98,3.6280487804878048,0.5975609756097561
8,2,1,low,5,38,"Net, The (1995)",Sci-Fi|Thriller,Sci-Fi,-1.5723421573499947,120,30,3.0083333333333333,0.25
8,2,1,low,6,274,Sabrina (1995),Comedy|Romance,Comedy,-1.5697997189668789,190,97,3.5,0.5105263157894737
8,2,1,low,7,739,Pretty Woman (1990),Comedy|Romance,Comedy,-1.457746638729728,164,78,3.323170731707317,0.47560975609756095
8,2,1,low,8,252,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,Action,-1.4421681705611247,158,47,2.9430379746835444,0.2974683544303797
8,2,1,low,9,255,My Best Friend's Wedding (1997),Comedy|Romance,Comedy,-1.3944347022685182,172,83,3.36046511627907,0.48255813953488375
8,2,1,low,10,284,Tin Cup (1996),Comedy|Romance,Comedy,-1.376037099111725,193,78,3.160621761658031,0.40414507772020725
8,2,2,high,1,654,Chinatown (1974),Film-Noir|Mystery|Thriller,Film-Noir,1.9910491557307353,147,111,4.136054421768708,0.7551020408163265
8,2,2,high,2,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,Sci-Fi,1.9047794702409513,194,154,4.252577319587629,0.7938144329896907
8,2,2,high,3,208,Young Frankenstein (1974),Comedy|Horror,Comedy,1.8607289175851354,200,141,3.945,0.705
8,2,2,high,4,156,Reservoir Dogs (1992),Crime|Thriller,Crime,1.8268512276480917,148,111,3.9864864864864864,0.75
8,2,2,high,5,443,"Birds, The (1963)",Horror,Horror,1.8258161126742984,162,108,3.808641975308642,0.6666666666666666
8,2,2,high,6,23,Taxi Driver (1976),Drama|Thriller,Drama,1.8059727097602039,182,146,4.1208791208791204,0.8021978021978022
8,2,2,high,7,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,Comedy,1.794846226457209,191,135,3.905759162303665,0.7068062827225131
8,2,2,high,8,479,Vertigo (1958),Mystery|Thriller,Mystery,1.766346255943523,179,162,4.251396648044692,0.9050279329608939
8,2,2,high,9,133,Gone with the Wind (1939),Drama|Romance|War,Drama,1.7338554639283228,171,116,3.871345029239766,0.6783625730994152
8,2,2,high,10,134,Citizen Kane (1941),Drama,Drama,1.7040607593775747,198,162,4.292929292929293,0.8181818181818182
8,2,2,low,1,312,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,Comedy,-2.3782122944322484,80,31,3.1625,0.3875
8,2,2,low,2,682,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,Horror,-1.9507880875472814,100,40,3.06,0.4
8,2,2,low,3,358,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,Action,-1.7327896599337407,143,32,2.6153846153846154,0.22377622377622378
8,2,2,low,4,895,Scream 2 (1997),Horror|Thriller,Horror,-1.674141759076361,106,46,3.2169811320754715,0.4339622641509434
8,2,2,low,5,332,Kiss the Girls (1997),Crime|Drama|Thriller,Crime,-1.5147332549032952,143,73,3.4615384615384617,0.5104895104895105
8,2,2,low,6,315,Apt Pupil (1998),Drama|Thriller,Drama,-1.4427037476831575,160,125,4.1,0.78125
8,2,2,low,7,326,G.I. Jane (1997),Action|Drama|War,Action,-1.2699566640214865,175,87,3.36,0.49714285714285716
8,2,2,low,8,343,Alien: Resurrection (1997),Action|Horror|Sci-Fi,Action,-1.2081383033909034,124,47,3.096774193548387,0.3790322580645161
8,2,2,low,9,304,Fly Away Home (1996),Adventure|Children's,Adventure,-1.1141777875728776,149,80,3.5369127516778525,0.5369127516778524
8,2,2,low,10,272,Good Will Hunting (1997),Drama,Drama,-1.0909775500488863,198,164,4.262626262626263,0.8282828282828283
8,2,3,high,1,230,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi,Action,2.381538318179477,199,99,3.4472361809045227,0.49748743718592964
8,2,3,high,2,431,Highlander (1986),Action|Adventure,Action,2.379334198773907,153,85,3.5359477124183005,0.5555555555555556
8,2,3,high,3,227,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi,Action,2.3122621638244185,161,76,3.279503105590062,0.4720496894409938
8,2,3,high,4,250,"Fifth Element, The (1997)",Action|Sci-Fi,Action,2.27901549681422,197,111,3.4771573604060912,0.5634517766497462
8,2,3,high,5,511,Lawrence of Arabia (1962),Adventure|War,Adventure,2.2353192753546907,173,145,4.23121387283237,0.838150289017341
8,2,3,high,6,208,Young Frankenstein (1974),Comedy|Horror,Comedy,2.133655736993551,200,141,3.945,0.705
8,2,3,high,7,209,This Is Spinal Tap (1984),Comedy|Drama|Musical,Comedy,2.0536532720642433,191,135,3.905759162303665,0.7068062827225131
8,2,3,high,8,229,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,Action,1.941355026336508,171,53,3.111111111111111,0.30994152046783624
8,2,3,high,9,380,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,Action,1.872509095819451,116,51,3.336206896551724,0.4396551724137931
8,2,3,high,10,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War,Sci-Fi,1.8707692539362155,194,154,4.252577319587629,0.7938144329896907
8,2,3,low,1,682,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,Horror,-1.879287445157826,100,40,3.06,0.4
8,2,3,low,2,312,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery,Comedy,-1.3158938021876667,80,31,3.1625,0.3875
8,2,3,low,3,260,Event Horizon (1997),Action|Mystery|Sci-Fi|Thriller,Action,-0.9308425685064752,127,34,2.574803149606299,0.2677165354330709
8,2,3,low,4,324,Lost Highway (1997),Mystery,Mystery,-0.9188058209162683,125,56,3.136,0.448
8,2,3,low,5,928,"Craft, The (1996)",Drama|Horror,Drama,-0.7399805638254703,104,34,3.1153846153846154,0.3269230769230769
8,2,3,low,6,1101,Six Degrees of Separation (1993),Drama|Mystery,Drama,-0.439937777561334,74,50,3.77027027027027,0.6756756756756757
8,2,3,low,7,38,"Net, The (1995)",Sci-Fi|Thriller,Sci-Fi,-0.42057538165411346,120,30,3.0083333333333333,0.25
8,2,3,low,8,332,Kiss the Girls (1997),Crime|Drama|Thriller,Crime,-0.38135599264895953,143,73,3.4615384615384617,0.5104895104895105
8,2,3,low,9,895,Scream 2 (1997),Horror|Thriller,Horror,-0.37487686483378924,106,46,3.2169811320754715,0.4339622641509434
8,2,3,low,10,340,Boogie Nights (1997),Drama,Drama,-0.2389031238978104,189,114,3.5873015873015874,0.6031746031746031
8,2,4,high,1,272,Good Will Hunting (1997),Drama,Drama,2.954283999685758,198,164,4.262626262626263,0.8282828282828283
8,2,4,high,2,315,Apt Pupil (1998),Drama|Thriller,Drama,2.527801419155949,160,125,4.1,0.78125
8,2,4,high,3,340,Boogie Nights (1997),Drama,Drama,2.1452710400960604,189,114,3.5873015873015874,0.6031746031746031
8,2,4,high,4,651,Glory (1989),Action|Drama|War,Action,2.0974602999276017,171,133,4.076023391812866,0.7777777777777778
8,2,4,high,5,527,Gandhi (1982),Drama,Drama,1.8397987821552066,195,146,4.02051282051282,0.7487179487179487
8,2,4,high,6,393,Mrs. Doubtfire (1993),Comedy,Comedy,1.8135455874452948,192,97,3.4114583333333335,0.5052083333333334
8,2,4,high,7,83,Much Ado About Nothing (1993),Comedy|Romance,Comedy,1.7408602997399987,176,139,4.0625,0.7897727272727273
8,2,4,high,8,559,Interview with the Vampire (1994),Drama|Horror,Drama,1.6652016454740008,137,49,3.1824817518248176,0.35766423357664234
8,2,4,high,9,582,"Piano, The (1993)",Drama|Romance,Drama,1.6453240257624056,168,98,3.6011904761904763,0.5833333333333334
8,2,4,high,10,419,Mary Poppins (1964),Children's|Comedy|Musical,Children's,1.62869957442064,178,109,3.7247191011235956,0.6123595505617978
8,2,4,low,1,358,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,Action,-1.1938834038493764,143,32,2.6153846153846154,0.22377622377622378
8,2,4,low,2,449,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,Action,-0.7857996123002542,117,37,3.034188034188034,0.3162393162393162
8,2,4,low,3,665,Alien 3 (1992),Action|Horror|Sci-Fi|Thriller,Action,-0.6300492911232741,100,29,2.83,0.29
8,2,4,low,4,229,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi,Action,-0.44041988310780605,171,53,3.111111111111111,0.30994152046783624
8,2,4,low,5,231,Batman Returns (1992),Action|Adventure|Comedy|Crime,Action,-0.2968831487271053,142,27,2.683098591549296,0.19014084507042253
8,2,4,low,6,525,"Big Sleep, The (1946)",Film-Noir|Mystery,Film-Noir,-0.262225349315445,73,55,4.027397260273973,0.7534246575342466
8,2,4,low,7,682,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller,Horror,-0.2609929552790935,100,40,3.06,0.4
8,2,4,low,8,252,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,Action,-0.260898475655911,158,47,2.9430379746835444,0.2974683544303797
8,2,4,low,9,38,"Net, The (1995)",Sci-Fi|Thriller,Sci-Fi,-0.17894021114317585,120,30,3.0083333333333333,0.25
8,2,4,low,10,380,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,Action,-0.07664410363065181,116,51,3.336206896551724,0.4396551724137931
8,2,5,high,1,124,Lone Star (1996),Drama|Mystery,Drama,2.2755758821451284,187,144,4.053475935828877,0.7700534759358288
8,2,5,high,2,654,Chinatown (1974),Film-Noir|Mystery|Thriller,Film-Noir,2.2452171798210383,147,111,4.136054421768708,0.7551020408163265
8,2,5,high,3,14,"Postino, Il (1994)",Drama|Romance,Drama,2.243705858981668,183,133,3.9672131147540983,0.726775956284153
8,2,5,high,4,514,Annie Hall (1977),Comedy|Romance,Comedy,2.1632474194884037,180,127,3.911111111111111,0.7055555555555556
8,2,5,high,5,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,Film-Noir,2.0623919455521422,138,112,4.2101449275362315,0.8115942028985508
8,2,5,high,6,498,"African Queen, The (1951)",Action|Adventure|Romance|War,Action,2.0446895174472712,152,124,4.184210526315789,0.8157894736842105
8,2,5,high,7,283,Emma (1996),Drama|Romance,Drama,2.0445527024742067,177,112,3.7175141242937855,0.632768361581921
8,2,5,high,8,480,North by Northwest (1959),Comedy|Thriller,Comedy,1.9132931553466688,179,154,4.284916201117318,0.8603351955307262
8,2,5,high,9,511,Lawrence of Arabia (1962),Adventure|War,Adventure,1.7450154717212483,173,145,4.23121387283237,0.838150289017341
8,2,5,high,10,525,"Big Sleep, The (1946)",Film-Noir|Mystery,Film-Noir,1.7108449488349646,73,55,4.027397260273973,0.7534246575342466
8,2,5,low,1,559,Interview with the Vampire (1994),Drama|Horror,Drama,-1.7712366569646434,137,49,3.1824817518248176,0.35766423357664234
8,2,5,low,2,928,"Craft, The (1996)",Drama|Horror,Drama,-1.3899455256795836,104,34,3.1153846153846154,0.3269230769230769
8,2,5,low,3,219,"Nightmare on Elm Street, A (1984)",Horror,Horror,-1.312251337002613,111,49,3.171171171171171,0.44144144144144143
8,2,5,low,4,358,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,Action,-1.2876761203701654,143,32,2.6153846153846154,0.22377622377622378
8,2,5,low,5,665,Alien 3 (1992),Action|Horror|Sci-Fi|Thriller,Action,-1.239342095862888,100,29,2.83,0.29
8,2,5,low,6,123,"Frighteners, The (1996)",Comedy|Horror,Comedy,-1.1341725247734422,115,50,3.234782608695652,0.43478260869565216
8,2,5,low,7,411,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,Comedy,-1.05009624749521,163,50,2.914110429447853,0.3067484662576687
8,2,5,low,8,218,Cape Fear (1991),Thriller,Thriller,-1.0198841295100123,171,85,3.456140350877193,0.49707602339181284
8,2,5,low,9,226,Die Hard 2 (1990),Action|Thriller,Action,-1.016874950487295,166,72,3.355421686746988,0.43373493975903615
8,2,5,low,10,62,Stargate (1994),Action|Adventure|Sci-Fi,Action,-1.009634726005251,127,43,3.141732283464567,0.33858267716535434
8,2,6,high,1,291,Absolute Power (1997),Mystery|Thriller,Mystery,2.2351396050218346,127,60,3.37007874015748,0.47244094488188976
8,2,6,high,2,591,Primal Fear (1996),Drama|Thriller,Drama,2.0231423455430133,178,100,3.601123595505618,0.5617977528089888
8,2,6,high,3,1016,Con Air (1997),Action|Adventure|Thriller,Action,1.9125698905193138,137,68,3.45985401459854,0.49635036496350365
8,2,6,high,4,628,Sleepers (1996),Crime|Drama,Crime,1.8947246159476692,169,92,3.514792899408284,0.5443786982248521
8,2,6,high,5,147,"Long Kiss Goodnight, The (1996)",Action|Thriller,Action,1.84875128335105,185,99,3.4702702702702704,0.5351351351351351
8,2,6,high,6,685,Executive Decision (1996),Action|Thriller,Action,1.8069206061031835,157,68,3.356687898089172,0.43312101910828027
8,2,6,high,7,298,Face/Off (1997),Action|Sci-Fi|Thriller,Action,1.7453952216884812,194,129,3.768041237113402,0.6649484536082474
8,2,6,high,8,293,Donnie Brasco (1997),Crime|Drama,Crime,1.6923618185976284,147,101,3.802721088435374,0.6870748299319728
8,2,6,high,9,332,Kiss the Girls (1997),Crime|Drama|Thriller,Crime,1.5043639067072547,143,73,3.4615384615384617,0.5104895104895105
8,2,6,high,10,284,Tin Cup (1996),Comedy|Romance,Comedy,1.4728863715047606,193,78,3.160621761658031,0.40414507772020725
8,2,6,low,1,665,Alien 3 (1992),Action|Horror|Sci-Fi|Thriller,Action,-1.3060960189045365,100,29,2.83,0.29
8,2,6,low,2,559,Interview with the Vampire (1994),Drama|Horror,Drama,-1.055097713131769,137,49,3.1824817518248176,0.35766423357664234
8,2,6,low,3,582,"Piano, The (1993)",Drama|Romance,Drama,-0.9006646027194017,168,98,3.6011904761904763,0.5833333333333334
8,2,6,low,4,654,Chinatown (1974),Film-Noir|Mystery|Thriller,Film-Noir,-0.8879466024229857,147,111,4.136054421768708,0.7551020408163265
8,2,6,low,5,231,Batman Returns (1992),Action|Adventure|Comedy|Crime,Action,-0.8843946712138977,142,27,2.683098591549296,0.19014084507042253
8,2,6,low,6,380,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,Action,-0.8091101059200143,116,51,3.336206896551724,0.4396551724137931
8,2,6,low,7,208,Young Frankenstein (1974),Comedy|Horror,Comedy,-0.8053249608594456,200,141,3.945,0.705
8,2,6,low,8,449,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi,Action,-0.8001390252584345,117,37,3.034188034188034,0.3162393162393162
8,2,6,low,9,319,Everyone Says I Love You (1996),Comedy|Musical|Romance,Comedy,-0.7374407030370738,168,75,3.2738095238095237,0.44642857142857145
8,2,6,low,10,514,Annie Hall (1977),Comedy|Romance,Comedy,-0.7246099010612175,180,127,3.911111111111111,0.7055555555555556
8,2,7,high,1,566,Clear and Present Danger (1994),Action|Adventure|Thriller,Action,1.7766668023855086,179,98,3.569832402234637,0.547486033519553
8,2,7,high,2,218,Cape Fear (1991),Thriller,Thriller,1.6976318292138348,171,85,3.456140350877193,0.49707602339181284
8,2,7,high,3,684,In the Line of Fire (1993),Action|Thriller,Action,1.6448798501551725,169,109,3.7928994082840237,0.6449704142011834
8,2,7,high,4,307,"Devil's Advocate, The (1997)",Crime|Horror|Mystery|Thriller,Crime,1.3822782568992595,188,108,3.515957446808511,0.574468085106383
8,2,7,high,5,356,"Client, The (1994)",Drama|Mystery|Thriller,Drama,1.3819344504196274,97,48,3.381443298969072,0.4948453608247423
8,2,7,high,6,227,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi,Action,1.3567518624984494,161,76,3.279503105590062,0.4720496894409938
8,2,7,high,7,226,Die Hard 2 (1990),Action|Thriller,Action,1.3392763320519003,166,72,3.355421686746988,0.43373493975903615
8,2,7,high,8,443,"Birds, The (1963)",Horror,Horror,1.2913013024617794,162,108,3.808641975308642,0.6666666666666666
8,2,7,high,9,484,"Maltese Falcon, The (1941)",Film-Noir|Mystery,Film-Noir,1.2172624227541389,138,112,4.2101449275362315,0.8115942028985508
8,2,7,high,10,159,Basic Instinct (1992),Mystery|Thriller,Mystery,1.2113925016372102,101,39,3.227722772277228,0.38613861386138615
8,2,7,low,1,319,Everyone Says I Love You (1996),Comedy|Musical|Romance,Comedy,-1.0531289227162342,168,75,3.2738095238095237,0.44642857142857145
8,2,7,low,2,283,Emma (1996),Drama|Romance,Drama,-0.9643325213421329,177,112,3.7175141242937855,0.632768361581921
8,2,7,low,3,324,Lost Highway (1997),Mystery,Mystery,-0.931282033727456,125,56,3.136,0.448
8,2,7,low,4,109,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,Comedy,-0.891680999611911,130,67,3.4307692307692306,0.5153846153846153
8,2,7,low,5,129,Bound (1996),Crime|Drama|Romance|Thriller,Crime,-0.7427827855499985,129,88,3.8217054263565893,0.6821705426356589
8,2,7,low,6,14,"Postino, Il (1994)",Drama|Romance,Drama,-0.662677205215974,183,133,3.9672131147540983,0.726775956284153
8,2,7,low,7,13,Mighty Aphrodite (1995),Comedy,Comedy,-0.6246512257895528,184,94,3.4184782608695654,0.5108695652173914
8,2,7,low,8,123,"Frighteners, The (1996)",Comedy|Horror,Comedy,-0.6128272108050637,115,50,3.234782608695652,0.43478260869565216
8,2,7,low,9,248,Grosse Pointe Blank (1997),Comedy|Crime,Comedy,-0.6110155634920578,160,107,3.675,0.66875
8,2,7,low,10,250,"Fifth Element, The (1997)",Action|Sci-Fi,Action,-0.582768746173165,197,111,3.4771573604060912,0.5634517766497462
