factor,attribute,pearson_corr,spearman_corr,abs_pearson_rank,interpretation_hint
5,release_year,-0.4596661823976332,-0.19811781999097672,5,suggestive: weak/no clear interpretation
5,genre_unknown,,,23,suggestive: weak/no clear interpretation
5,genre_Action,-0.4345146871456881,-0.43846071227442057,6,suggestive: sci-fi/action-related
5,genre_Adventure,-0.2759152509872134,-0.2935972921145453,13,suggestive: sci-fi/action-related
5,genre_Animation,,,24,suggestive: weak/no clear interpretation
5,genre_Children's,0.08169444042021146,0.08413238880652796,20,suggestive: weak/no clear interpretation
5,genre_Comedy,0.07473291015862561,0.07686086313136319,21,suggestive: weak/no clear interpretation
5,genre_Crime,-0.024790903835422196,0.0019967748181561667,22,suggestive: weak/no clear interpretation
5,genre_Documentary,,,25,suggestive: weak/no clear interpretation
5,genre_Drama,0.3182740612166299,0.3379171351494241,10,suggestive: romance/drama-related
5,genre_Fantasy,-0.20934575760399168,-0.2426798677636881,16,suggestive: weak/no clear interpretation
5,genre_Film-Noir,0.29639960311244545,0.2731417758511804,11,suggestive: weak/no clear interpretation
5,genre_Horror,-0.3520578062229994,-0.3564243050408757,8,suggestive: weak/no clear interpretation
5,genre_Musical,0.09361707847764048,0.10430346552867803,19,suggestive: weak/no clear interpretation
5,genre_Mystery,0.22528689896859752,0.21450556397908074,15,suggestive: weak/no clear interpretation
5,genre_Romance,0.22900905230078197,0.22412406516532768,14,suggestive: weak/no clear interpretation
5,genre_Sci-Fi,-0.3906726740900891,-0.4146329063371322,7,suggestive: sci-fi/action-related
5,genre_Thriller,-0.1528855692802135,-0.1378492694048136,18,suggestive: weak/no clear interpretation
5,genre_War,0.19749757953982655,0.2070578443082005,17,suggestive: weak/no clear interpretation
5,genre_Western,,,26,suggestive: weak/no clear interpretation
6,rating_count,0.22659700524228815,0.1861020605432949,4,suggestive: weak/no clear interpretation
6,log_rating_count,0.24246099209508393,0.1861020605432949,3,suggestive: weak/no clear interpretation
6,like_count,0.041557826961178435,0.06414326670839418,19,suggestive: weak/no clear interpretation
6,log_like_count,0.13217277221793738,0.06414326670839418,10,suggestive: weak/no clear interpretation
6,avg_rating,-0.055932547444561616,-0.03557155715571557,17,suggestive: weak/no clear interpretation
6,high_rating_rate,-0.057111373411204105,-0.05125712571257125,16,suggestive: weak/no clear interpretation
6,release_year,0.47253689994147907,0.5424271255692094,1,suggestive: weak/no clear interpretation
6,genre_unknown,,,23,suggestive: weak/no clear interpretation
6,genre_Action,0.13319946854746753,0.1345620806635291,9,suggestive: weak/no clear interpretation
6,genre_Adventure,-0.05581802412933798,-0.05542839733135959,18,suggestive: weak/no clear interpretation
6,genre_Animation,,,24,suggestive: weak/no clear interpretation
6,genre_Children's,-0.07236464302687919,-0.07423446071164232,15,suggestive: weak/no clear interpretation
6,genre_Comedy,-0.10343068681983272,-0.09168681642573781,13,suggestive: weak/no clear interpretation
6,genre_Crime,0.2226503786046632,0.2196452299971783,6,suggestive: weak/no clear interpretation
6,genre_Documentary,,,25,suggestive: weak/no clear interpretation
6,genre_Drama,0.10265699630974193,0.10961517806860514,14,suggestive: weak/no clear interpretation
6,genre_Fantasy,0.032412169002068725,0.04772365600373784,21,suggestive: weak/no clear interpretation
6,genre_Film-Noir,-0.2260042345565669,-0.24877224938118658,5,suggestive: weak/no clear interpretation
6,genre_Horror,-0.19435697018429784,-0.18070812104313308,7,suggestive: weak/no clear interpretation
6,genre_Musical,-0.12742085586451019,-0.14142842783549564,11,suggestive: weak/no clear interpretation
6,genre_Mystery,-0.13841020654301603,-0.15969797494477816,8,suggestive: weak/no clear interpretation
6,genre_Romance,-0.013986790475602546,0.010035405902925119,22,suggestive: weak/no clear interpretation
6,genre_Sci-Fi,-0.12345302832477015,-0.1101435105039151,12,suggestive: weak/no clear interpretation
6,genre_Thriller,0.30175176247183544,0.3103412871417269,2,suggestive: weak/no clear interpretation
6,genre_War,-0.03397717537459953,-0.03869605614940141,20,suggestive: weak/no clear interpretation
6,genre_Western,,,26,suggestive: weak/no clear interpretation
7,rating_count,0.049628954731648516,0.056958873157575356,21,suggestive: weak/no clear interpretation
7,log_rating_count,0.038326253606202766,0.056958873157575356,22,suggestive: weak/no clear interpretation
7,like_count,0.15747080264462582,0.16824404368479812,11,suggestive: weak/no clear interpretation
7,log_like_count,0.1435725867819065,0.16824404368479812,13,suggestive: weak/no clear interpretation
7,avg_rating,0.2449081345250276,0.245988598859886,3,suggestive: weak/no clear interpretation
7,high_rating_rate,0.19516096766344118,0.19458745874587458,6,suggestive: weak/no clear interpretation
7,release_year,-0.39672462058787245,-0.5098937245411176,1,suggestive: weak/no clear interpretation
7,genre_unknown,,,23,suggestive: weak/no clear interpretation
7,genre_Action,0.15367098318587336,0.129270313446424,12,suggestive: weak/no clear interpretation
7,genre_Adventure,0.1407419079892612,0.11432106949592916,14,suggestive: weak/no clear interpretation
7,genre_Animation,,,24,suggestive: weak/no clear interpretation
7,genre_Children's,-0.0680637989038791,-0.08908135285397079,20,suggestive: weak/no clear interpretation
7,genre_Comedy,-0.24311948228617905,-0.22824164940024094,4,suggestive: weak/no clear interpretation
7,genre_Crime,-0.17835037499866777,-0.20167425663377284,7,suggestive: weak/no clear interpretation
7,genre_Documentary,,,25,suggestive: weak/no clear interpretation
7,genre_Drama,-0.11948933577961138,-0.12171064599341676,17,suggestive: weak/no clear interpretation
7,genre_Fantasy,-0.1254734995861513,-0.12489382315871816,16,suggestive: weak/no clear interpretation
7,genre_Film-Noir,0.1624875726096273,0.17769446384370471,10,suggestive: weak/no clear interpretation
7,genre_Horror,-0.07919642154390528,-0.09285002904426173,18,suggestive: weak/no clear interpretation
7,genre_Musical,-0.1779671416419998,-0.1644105473587637,8,suggestive: weak/no clear interpretation
7,genre_Mystery,0.1274317497888354,0.14174376474388595,15,suggestive: weak/no clear interpretation
7,genre_Romance,-0.19841555160898663,-0.17394703565070208,5,suggestive: weak/no clear interpretation
7,genre_Sci-Fi,-0.07425414492482042,-0.0693181166491821,19,suggestive: weak/no clear interpretation
7,genre_Thriller,0.34951627822848985,0.33993196800872877,2,suggestive: weak/no clear interpretation
7,genre_War,0.1779352166011732,0.19348028074700702,9,suggestive: weak/no clear interpretation
7,genre_Western,,,26,suggestive: weak/no clear interpretation
